StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,edad,genero,ocup,edu,imple,viable,perti,BB2_1,BB2_2,BB2_3,BB2_4,BB3,vot21,vot22,vot26_a36,novot,difvoto,intvot,reprevot,vot26_check2,cpc_cond,cpc_act1,cpc_act2,check_com,lima,satisz,confi,desemmu,Q46,Q47_1,Q47_2,seg,confianza_1,confianza_2,confianza_3,confianza_4,Q26_1,BY_DO,BB1_DO,TT2_DO,EM1_DO,AC1_DO,MAN1_DO
Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,Q_RecaptchaScore,"Antes de comenzar, le informamos que esta encuesta es parte de un estudio académico sobre opinión pública y comunicación política. Su participación es completamente voluntaria, anónima y confidencial. Algunas preguntas incluyen materiales diseñados para simular contenidos informativos con fines exclusivamente pedagógicos y de investigación.

Al hacer clic en “Acepto participar de la encuesta”, usted declara que ha leído esta información y acepta participar en el estudio de manera libre y voluntaria.",¿Cuál es su edad en años cumplidos?,¿Con qué género se identifica?,"¿Usted actualmente trabaja, estudia, trabaja y estudia o no trabaja ni estudia?",¿Cuál es su grado de instrucción?,"En una escala del 1 al 7, donde 1 es ""Nada probable"" y 7 es ""Muy probable"", ¿qué tan probable considera que esta propuesta sea implementada?","En una escala del 1 al 7, donde 1 es ""Nada viable"" y 7 es ""Muy viable"", ¿qué tan viable considera esta propuesta para el país?","En una escala del 1 al 7, donde 1 es ""Nada pertinente"" y 7 es ""Muy pertinente"", ¿qué tan pertinente considera esta propuesta para el contexto nacional?",¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones? - El gobierno debería aplicar la pena de muerte a delincuentes que cometen delitos graves,¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones? - El gobierno debería deportar masivamente a los delincuentes extranjeros e indocumentados,¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones? - La policía debería realizar allanamientos sin orden judicial en zonas de alta criminalidad,¿Qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones? - El gobierno debería implementar un toque de queda a nivel nacional,¿Cuál es el delito cometido según la noticia que se le pidió leer?,¿Participó usted en las Elecciones Generales en el año 2021?,¿Participó usted en las Elecciones Regionales y Municipales en el año 2022?,Imagine que esta cartilla fuera la boleta oficial en una elección que se realiza hoy. ¿Votaría por alguno de los partidos políticos que aparecen?,¿Cuál es la principal razón por la que no votaría por ninguno de los partidos mostrados?,"Usando una escala que va del 1 al 5, donde 1 significa ""Muy fácil"" y 5 significa ""Muy difícil"", ¿qué tan fácil o difícil le resultó decidir por qué partido votar después de ver la cartilla electoral? [Puede usar cualquier número entre 1 y 5]","Usando una escala que va del 1 al 5, donde 1 significa “Nada interesado” y 5 significa “Muy interesado”, ¿qué tanto interés tiene usted en la política?","Usando una escala que va del 1 al 5, donde 1 significa “Nada representado” y 5 significa “Muy representado”, ¿qué tanto siente que sus intereses están representados por los partidos políticos?","Usando una escala que va del 1 al 5, donde 1 significa “Muy cargado” y 5 significa “Muy simple”, ¿qué tan cargada o saturada sintió la cartilla electoral que acaba de ver?","Según el llamado del ministro del Interior a la ciudadanía, ¿qué tan probable o improbable es que presente una denuncia en caso de ser testigo de algún delito o crimen? Responda en una escala del 0 al 10 donde 0 es “nada probable” y 10 “muy probable”","En una escala del 0 al 10, donde 0 es “totalmente en desacuerdo” y 10 “totalmente de acuerdo”, ¿qué tan de acuerdo o en desacuerdo está con que el Gobierno haya ampliado las intervenciones del Plan Perú Seguro?","En una escala del 0 al 10, donde 0 es “no lo apoyo en absoluto” y 10 “lo apoyo totalmente”, ¿qué tanto apoya o no apoya que el ministro del Interior haya tomado la iniciativa de implementar nuevas medidas contra la criminalidad?","Por favor, indique el tipo de personaje(s) que apareció en la fotografía de la nota de prensa",¿Usted reside actualmente en Lima?,"¿Qué tan satisfecho(a) o insatisfecho(a) está usted con la calidad del servicio de seguridad provisto por el Serenazgo de su distrito? ¿Está usted satisfecho, ni satisfecho ni insatisfecho o insatisfecho?","¿Cuánta confianza le genera la gestión de la Municipalidad de Lima para prevenir y sancionar crisis emergentes como la inseguridad percibida durante el último trimestre? ¿Tiene usted mucha confianza, ni mucha ni poca o poca confianza?","¿Cuánto considera usted que el equipo de la Municipalidad de Lima  y el alcalde están capacitados para afrontar la crisis de seguridad? ¿Cree usted que están muy capacitados, algo capacitados, poco capacitados o nada capacitados?","En una escala del 1 al 5, donde 1 significa ""Muy en desacuerdo"" y 5 significa ""Muy de acuerdo"", ¿cómo evalúa la siguiente frase?
Hubo fraude en las elecciones presidenciales de 2021 en Perú",Le pedimos que responda a las siguientes dos preguntas. - ¿Cree usted en que el Jurado Nacional de Elecciones (JNE) actuó de manera imparcial en las elecciones de 2021?,Le pedimos que responda a las siguientes dos preguntas. - ¿Cree usted en que la Oficina Nacional de Procesos Electorales (ONPE) actuó de manera transparente en las elecciones de 2021?,¿Qué tan seguro/a se siente al desplazarse por su ciudad?,"En una escala del 1 al 7, donde 1 significa ""No confía nada"" y 7 significa ""Confía mucho"" - ¿Cuánto confía o desconfía en los partidos políticos en Perú?","En una escala del 1 al 7, donde 1 significa ""No confía nada"" y 7 significa ""Confía mucho"" - ¿Cuánto confía o desconfía en los movimientos regionales en Perú?","En una escala del 1 al 7, donde 1 significa ""No confía nada"" y 7 significa ""Confía mucho"" - ¿Cuánto confía o desconfía en el Congreso de la República?","En una escala del 1 al 7, donde 1 significa ""No confía nada"" y 7 significa ""Confía mucho"" - ¿Cuánto confía o desconfía en su municipalidad distrital?","En una escala del 1 al 10, donde 1 significa ""Izquierda"" y 10 significa ""Derecha"" y según el sentido que
tengan para usted los términos ""izquierda"" y ""derecha"" ¿dónde se ubicaría usted en esta escala? - Haga clic para escribir la opción 1",BY - Display Order,BB1 - Display Order,TT2 - Display Order,EM1 - Display Order,AC1 - Display Order,MAN1 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Rio_Branco""}","{""ImportId"":""endDate"",""timeZone"":""America/Rio_Branco""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Rio_Branco""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID43""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID28""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID34""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID26_1""}","{""ImportId"":""BL_0H8rV6kLIt363n8_DO""}","{""ImportId"":""BL_2oCtuHrzUXu5HBc_DO""}","{""ImportId"":""BL_0pofwGUezDBo24m_DO""}","{""ImportId"":""BL_069eyhhsEv3aAwS_DO""}","{""ImportId"":""BL_55NtwjToMzIh7r8_DO""}","{""ImportId"":""BL_06yeGHQeZJJ0JGS_DO""}"
20/06/25 17:43,20/06/25 17:48,IP Address,45.231.80.104,100,317,True,20/06/25 17:48,R_3ghPd6QKr4AnMRP,,,,,-12.046,-77.0305,anonymous,ES,0.5,Acepto participar de la encuesta,21,Hombre,Trabaja y estudia,Universitaria,5,4,7. Muy pertinente,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Homicidio,No,Sí,No,,4. Difícil,5. Muy interesado/a,1. Nada representado,2. Algo cargada,7,7,7,Autoridades del gobierno,Sí,Satisfecho,Poca confianza,Poco capacitados,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,4,by_c,bb_c,Q18,em_c,ac_t2,man_c
20/06/25 17:42,20/06/25 17:49,IP Address,45.231.80.103,100,391,True,20/06/25 17:49,R_5TTryASyEY5fIZf,,,,,-12.046,-77.0305,anonymous,ES,0.699999988,Acepto participar de la encuesta,21,Hombre,Estudia,Universitaria,6,6,6,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Homicidio,No,No,No,,5. Muy difícil,4. Interesado/a,1. Nada representado,2. Algo cargada,3,Totalmente de acuerdo 10,No lo apoyo en absoluto 0,Policías en un operativo,Sí,Insatisfecho,Poca confianza,Poco capacitados,1. Muy en desacuerdo,Sí,Sí,Nada seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,3,by_c,bb_t,Q18,em_t,ac_t2,man_t
20/06/25 17:42,20/06/25 17:50,IP Address,190.42.185.15,100,484,True,20/06/25 17:50,R_5MZ1XdJxJf3S5xv,,,,,-11.85,-76.45,anonymous,ES,0.899999976,Acepto participar de la encuesta,,Hombre,No trabaja ni estudia,Posgrado,5,5,5,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Homicidio,Sí,Sí,No,,1. Muy fácil,5. Muy interesado/a,1. Nada representado,2. Algo cargada,10. Muy probable,5,No lo apoyo en absoluto 0,Policías en un operativo,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Nada capacitados,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,,by_c,bb_c,Q18,em_c,ac_t2,man_c
20/06/25 17:42,20/06/25 17:51,IP Address,179.6.155.74,100,502,True,20/06/25 17:51,R_52LkT3zYq5CSIWB,,,,,-12.046,-77.0305,anonymous,ES,0.899999976,Acepto participar de la encuesta,51,Mujer,Trabaja,Posgrado,1. Nada probable,5,7. Muy pertinente,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Homicidio,Sí,Sí,No,,5. Muy difícil,3. Ni interesado/a ni desinteresado/a,1. Nada representado,1. Muy cargada,4,Totalmente en desacuerdo 0,No lo apoyo en absoluto 0,Policías en un operativo,Sí,Satisfecho,Poca confianza,Nada capacitados,1. Muy en desacuerdo,Sí,Sí,Algo seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,,by_c,bb_c,Q18,em_c,ac_t1,man_c
20/06/25 17:46,20/06/25 17:57,IP Address,190.233.52.234,100,649,True,20/06/25 17:57,R_6gd0bINGJlY9Hs5,,,,,-11.85,-76.45,anonymous,ES,0.899999976,Acepto participar de la encuesta,50,Mujer,Trabaja,Posgrado,4,4,7. Muy pertinente,En desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Homicidio,Sí,Sí,Sí,No confía en los partidos políticos,5. Muy difícil,4. Interesado/a,2. Poco representado,1. Muy cargada,1,3,8,Autoridades del gobierno,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Poco capacitados,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,2,3,by_t,bb_t,Q20,em_t,ac_t2,man_t
20/06/25 17:56,20/06/25 18:02,IP Address,181.224.234.121,100,357,True,20/06/25 18:02,R_3VWOhAr4JETp5LP,,,,,-12.046,-77.0305,anonymous,ES,0.5,Acepto participar de la encuesta,24,Mujer,Trabaja,Universitaria,4,6,7. Muy pertinente,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Homicidio,Sí,Sí,Sí,No me siento representado por ninguno,3. Ni fácil ni difícil,4. Interesado/a,2. Poco representado,1. Muy cargada,7,4,4,Policías en un operativo,Sí,Insatisfecho,Poca confianza,Poco capacitados,1. Muy en desacuerdo,Sí,Sí,Poco seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,2,1,by_c,bb_c,Q20,em_c,ac_t1,man_t
20/06/25 18:10,20/06/25 18:11,IP Address,181.65.25.194,100,60,True,20/06/25 18:11,R_52up6UUkR4meNI3,,,,,-12.046,-77.0305,anonymous,ES,1,Acepto participar de la encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,by_c,bb_t,Q19,em_c,ac_t1,man_c
20/06/25 18:10,20/06/25 18:18,IP Address,132.157.131.107,100,476,True,20/06/25 18:18,R_3bWff9vxWiEeKfL,,,,,-12.046,-77.0305,anonymous,ES,0.600000024,Acepto participar de la encuesta,21,Mujer,Trabaja y estudia,Universitaria,5,5,5,Totalmente en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Homicidio,No,Sí,Sí,No me siento representado por ninguno,4. Difícil,4. Interesado/a,2. Poco representado,1. Muy cargada,7,6,7,Autoridades del gobierno,Sí,Ni satisfecho ni insatisfecho,Poca confianza,Poco capacitados,2,No,No,Nada seguro/a,1. No confía nada,1. No confía nada,1. No confía nada,1. No confía nada,3,by_t,bb_t,Q19,em_c,ac_t2,man_c
